Filename,Deterministic_MK,Stochastic_MK
job6_m4_694.json,71.00,71.00
job3_m3_695.json,39.00,39.00
job6_m4_696.json,75.00,75.00
job5_m4_697.json,54.00,54.00
job4_m3_698.json,52.00,52.00
job4_m4_699.json,51.00,51.00
job5_m4_700.json,55.00,55.00
job3_m4_701.json,56.00,56.00
job3_m3_702.json,44.00,44.00
job3_m4_703.json,48.00,48.00
job6_m4_704.json,71.00,71.00
job4_m3_705.json,55.00,55.00
job6_m3_706.json,86.00,86.00
job4_m3_707.json,64.00,64.00
job4_m4_708.json,56.00,56.00
job6_m4_709.json,75.00,75.00
job6_m3_710.json,75.00,75.00
job5_m4_711.json,59.00,59.00
job5_m4_712.json,59.00,59.00
job5_m3_713.json,67.00,67.00
job5_m4_714.json,61.00,61.00
job6_m3_715.json,86.00,86.00
job6_m3_716.json,92.00,92.00
job5_m3_717.json,66.00,66.00
job3_m3_718.json,50.00,50.00
job3_m4_719.json,56.00,56.00
job4_m4_720.json,52.00,52.00
job5_m3_721.json,74.00,74.00
job5_m4_722.json,61.00,61.00
job4_m3_723.json,52.00,52.00
job4_m3_724.json,53.00,53.00
job6_m3_725.json,106.00,106.00
job4_m3_726.json,67.00,67.00
job3_m3_727.json,49.00,49.00
job6_m4_728.json,71.00,71.00
job5_m4_729.json,54.00,54.00
job6_m4_730.json,67.00,67.00
job5_m3_731.json,71.00,71.00
job4_m3_732.json,60.00,60.00
job4_m3_733.json,57.00,57.00
job4_m3_734.json,56.00,56.00
job5_m4_735.json,61.00,61.00
job3_m3_736.json,48.00,48.00
job5_m3_737.json,74.00,74.00
job4_m4_738.json,45.00,45.00
job4_m4_739.json,64.00,64.00
job6_m4_740.json,66.00,66.00
job3_m4_741.json,50.00,50.00
job5_m4_742.json,66.00,66.00
job5_m4_743.json,58.00,58.00
job4_m3_744.json,64.00,64.00
job4_m3_745.json,63.00,63.00
job6_m4_746.json,66.00,66.00
job6_m4_747.json,73.00,73.00
job4_m3_748.json,65.00,65.00
job4_m4_749.json,53.00,53.00
job3_m4_750.json,37.00,37.00
job3_m4_751.json,49.00,49.00
job3_m3_752.json,52.00,52.00
job6_m3_753.json,89.00,89.00
job3_m3_754.json,40.00,40.00
job4_m3_755.json,61.00,61.00
job5_m3_756.json,73.00,73.00
job6_m4_757.json,69.00,69.00
job6_m3_758.json,73.00,73.00
job4_m4_759.json,53.00,53.00
job4_m3_760.json,65.00,65.00
job4_m3_761.json,68.00,68.00
job3_m3_762.json,49.00,49.00
job4_m3_763.json,56.00,56.00
job6_m4_764.json,72.00,72.00
job4_m4_765.json,60.00,60.00
job3_m4_766.json,46.00,46.00
job6_m3_767.json,95.00,95.00
job4_m3_768.json,57.00,57.00
job5_m4_769.json,68.00,68.00
job6_m4_770.json,72.00,72.00
